"ecode","pcode","pname","pabbrev","cands"
1,0,"SUSTAINABLE AUSTRALIA (ACT)","SUST",2
1,1,"CANBERRA LIBERALS","LIB",5
1,2,"ANIMAL JUSTICE PARTY","AJP",2
1,3,"LIKE CANBERRA","LIKE",2
1,4,"ACT LABOR","ALP",5
1,5,"LIBERAL DEMOCRATS","LDP",5
1,6,"THE GREENS","GREEN",3
1,7,"AUSTRALIAN SEX PARTY ACT","ASP",2
1,8,"UNGROUPED","UNG",2
2,0,"SUSTAINABLE AUSTRALIA (ACT)","SUST",2
2,1,"ACT LABOR","ALP",5
2,2,"THE GREENS","GREEN",3
2,3,"CANBERRA LIBERALS","LIB",5
2,4,"LIKE CANBERRA","LIKE",2
2,5,"CANBERRA COMMUNITY VOTERS","CCV",5
2,6,"LIBERAL DEMOCRATS","LDP",2
2,7,"UNGROUPED","UNG",5
2,8,"UNGROUPED","UNG",4
3,0,"ACT LABOR","ALP",5
3,1,"LIBERAL DEMOCRATS","LDP",3
3,2,"THE GREENS","GREEN",3
3,3,"LIKE CANBERRA","LIKE",2
3,4,"CANBERRA LIBERALS","LIB",5
3,5,"CANBERRA COMMUNITY VOTERS","CCV",3
3,6,"SUSTAINABLE AUSTRALIA (ACT)","SUST",2
3,7,"UNGROUPED","UNG",4
4,0,"LIKE CANBERRA","LIKE",2
4,1,"ACT LABOR","ALP",5
4,2,"SUSTAINABLE AUSTRALIA (ACT)","SUST",2
4,3,"CANBERRA LIBERALS","LIB",5
4,4,"THE COMMUNITY ALLIANCE PARTY (ACT)","CAP",2
4,5,"LIBERAL DEMOCRATS","LDP",5
4,6,"ANIMAL JUSTICE PARTY","AJP",2
4,7,"THE GREENS","GREEN",3
4,8,"UNGROUPED","UNG",3
5,0,"LIBERAL DEMOCRATS","LDP",2
5,1,"CANBERRA LIBERALS","LIB",5
5,2,"LIKE CANBERRA","LIKE",2
5,3,"SUSTAINABLE AUSTRALIA (ACT)","SUST",2
5,4,"ACT LABOR","ALP",5
5,5,"THE GREENS","GREEN",3
5,6,"AUSTRALIAN SEX PARTY ACT","ASP",2
5,7,"UNGROUPED","UNG",3
