Banana Shire Council,PO Box 412,BILOELA,Queensland,4715,enquiries@banana.qld.gov.au
Barcaldine Regional Council,PO box 191,BARCALDINE,Queensland,4725,council@barc.qld.gov.au
Barcoo Shire Council,PO Box 14,JUNDAH,Queensland,4736,shire@barcoo.qld.gov.au
Blackall-Tambo Regional Council,PO Box 21,BLACKALL,Queensland,4472,admin@btrc.qld.gov.au
Boulia Shire Council,Herbert/Burke Streets,BOULIA,Queensland,4829,admin@boulia.qld.gov.au
Central Highlands Regional Council,PO Box 21,EMERALD,Queensland,4720,enquiries@chrc.qld.gov.au
Diamantina Shire Council,17 Herbert Street,BEDOURIE,Queensland,4829,admin@diamantina.qld.gov.au
Gladstone Regional Council,PO Box 29,GLADSTONE,Queensland,4680,info@gladstonerc.qld.gov.au
Isaac Regional Council,PO Box 97,MORANBAH,Queensland,4744,records@isaac.qld.gov.au
Longreach Regional Council,PO Box 144,ILFRACOMBE,Queensland,4727,assist@longreach.qld.gov.au
Mackay Regional Council,PO Box 41,MACKAY,Queensland,4740,council@mackay.qld.gov.au
Rockhampton Regional Council,PO Box 1860,ROCKHAMPTON CITY,Queensland,4700,enquiries@rrc.qld.gov.au
Whitsunday Regional Council,PO Box 104,PROSERPINE,Queensland,4800,info@whitsundayrc.qld.gov.au
Winton Shire Council,75 Vindex Street,WINTON,Queensland,4735,info@winton.qld.gov.au
Woorabinda Aboriginal Shire Council,112 Munns Drive,WOORABINDA,Queensland,4713,ceo@woorabinda.qld.gov.au
Aurukun Shire Council,39 Kang Kang Road,AURUKUN,Queensland,4892,council@aurukun.qld.gov.au
Burdekin Shire Council,PO Box 974,AYR,Queensland,4807,burdekinsc@burdekin.qld.gov.au
Burke Shire Council,PO Box 90,BURKETOWN,Queensland,4830,Office@Burke.qld.gov.au
Cairns Regional Council,PO Box 359,CAIRNS CITY,Queensland,4870,council@cairns.qld.gov.au
Carpentaria Shire Council,PO Box 31,NORMANTON,Queensland,4890,council@carpentaria.qld.gov.au
Cassowary Coast Regional Council,PO Box 887,INNISFAIL,Queensland,4860,enquiries@cassowarycoast.qld.gov.au
Charters Towers Regional Council,PO Box 189,CHARTERS TOWERS,Queensland,4820,mail@charterstowers.qld.gov.au
Cloncurry Shire Council,PO Box 3,CLONCURRY,Queensland,4824,council@cloncurry.qld.gov.au
Cook Shire Council,PO Box 3,COOKTOWN,Queensland,4895,mail@cook.qld.gov.au
Croydon Shire Council,PO Box 17,CROYDON,Queensland,4871,admin@croydon.qld.gov.au
Doomadgee Aboriginal Shire Council,Sharp Street,DOOMADGEE,Queensland,4830,ceo@doomadgee.qld.gov.au
Etheridge Shire Council,PO Box 12,GEORGETOWN,Queensland,4871,info@etheridge.qld.gov.au
Flinders Shire Council,PO Box 274,HUGHENDEN,Queensland,4821,flinders@flinders.qld.gov.au
Hinchinbrook Shire Council,PO Box 366,INGHAM,Queensland,4850,council@hinchinbrook.qld.gov.au
Hope Vale Aboriginal Shire Council,1 Muni St,HOPE VALE,Queensland,4895,info@hopevale.qld.gov.au
Kowanyama Aboriginal Shire Council,PO Box 30,KOWANYAMA,Queensland,4892,admin@kowanyama.qld.gov.au
Lockhart River Aboriginal Shire Council,C/- Post Office,LOCKHART RIVER,Queensland,4892,Reception@lockhart.qld.gov.au
Mapoon Aboriginal Shire Council,PO Box 213,WEIPA,Queensland,4874,mapoon.admin@mapoon.qld.gov.au
McKinlay Shire Council,PO Box 177,JULIA CREEK,Queensland,4823,reception@mckinlay.qld.gov.au
Mornington Shire Council,Mission Road,MORNINGTON ISLAND,Queensland,4871,admin@mornington.qld.gov.au
Mount Isa City Council,PO Box 815,MOUNT ISA CITY,Queensland,4825,city@mountisa.qld.gov.au
Napranum Aboriginal Shire Council,PO Box 538 Napranum Via Weipa,WEIPA,Queensland,4874,ceo@napranum.qld.gov.au
Northern Peninsula Area Regional Council,PO Box 200,BAMAGA,Queensland,4876,info@nparc.qld.gov.au
Palm Island Aboriginal Shire Council,1 Main Street,PALM ISLAND,Queensland,4816,reception@palmcouncil.qld.gov.au
Pormpuraaw Aboriginal Shire Council,C/- Post Office,PORMPURAAW,Queensland,4871,admin@pormpuraaw.qld.gov.au
Richmond Shire Council,Po Box 18,RICHMOND,Queensland,4740,enquiries@richmond.qld.gov.au
Tablelands Regional Council,PO Box 573,ATHERTON,Queensland,4883,info@trc.qld.gov.au
Torres Shire Council,PO Box 171,THURSDAY ISLAND,Queensland,4875,admin@torres.qld.gov.au
Torres Strait Island Regional Council,PO Box 7336,CAIRNS CITY,Queensland,4870,ceo@tsirc.qld.gov.au
Townsville City Council,PO Box 1268,TOWNSVILLE CITY,Queensland,4810,enquiries@townsville.qld.gov.au
Wujal Wujal Aboriginal Shire Council,Wujal Wujal Community,WUJAL WUJAL,Queensland,4895,ceo@wujalwujalcouncil.qld.gov.au
Yarrabah Aboriginal Shire Council,C/- Post Office,YARRABAH,Queensland,4871,secretary@yarrabah.qld.gov.au
Douglas Shire Council,PO Box 723,MOSSMAN,Queensland,4873,enquiries@douglas.qld.gov.au
Mareeba Shire Council,PO Box 154,MAREEBA,Queensland,4880,info@msc.qld.gov.au
Balonne Shire Council,PO Box 201,ST GEORGE,Queensland,4487,council@balonne.qld.gov.au
Brisbane City Council,GPO Box 1434,BRISBANE CITY,Queensland,4000,brisbane.qld.gov.au
Bulloo Shire Council,PO Box 46,THARGOMINDAH,Queensland,4492,Council@bulloo.qld.gov.au
Bundaberg Regional Council,PO Box 3130,BUNDABERG CENTRAL,Queensland,4670,ceo@bundaberg.qld.gov.au
Cherbourg Aboriginal Shire Council,C/- Post Office,CHERBOURG,Queensland,4605,ceo@cherbourg.qld.gov.au
Fraser Coast Regional Council,PO Box 1943,TORQUAY,Queensland,4655,enquiry@frasercoast.qld.gov.au
Gold Coast City Council,135 Bundall Road,BUNDALL,Queensland,4217,gcccmail@goldcoast.qld.gov.au
Goondiwindi Regional Council,Locked Mail Bag 7,INGLEWOOD,Queensland,4387,mail@grc.qld.gov.au
Gympie Regional Council,PO Box 155,GYMPIE,Queensland,4570,council@gympie.qld.gov.au
Ipswich City Council,PO Box 191,IPSWICH,Queensland,4305,council@ipswich.qld.gov.au
Lockyer Valley Regional Council,PO Box 82,GATTON,Queensland,4343,mailbox@lvrc.qld.gov.au
Logan City Council,PO Box 3226,,LOGAN CITY DC,Queensland,4114,council@logan.qld.gov.au
Maranoa Regional Council,Corner Quintin & Bungil Streets,ROMA,Queensland,4455,council@maranoa.qld.gov.au
Moreton Bay Regional Council,PO Box 159,,CABOOLTURE,Queensland,4510,mbrc@moretonbay.qld.gov.au
Murweh Shire Council,95-101 Alfred Street,CHARLEVILLE,Queensland,4470,ceo@murweh.qld.gov.au
North Burnett Regional Council,PO Box 390,GAYNDAH,Queensland,4625,admin@northburnett.qld.gov.au
Paroo Shire Council,Cnr Louise & Stockyard Street,CUNNAMULLA,Queensland,4490,council@paroo.qld.gov.au
Quilpie Shire Council,50 Brolga Street,QUILPIE,Queensland,4480,admin@quilpie.qld.gov.au
Redland City Council,PO Box 21,CLEVELAND,Queensland,4163,rcc@redland.qld.gov.au
Scenic Rim Regional Council,PO Box 25,BEAUDESERT,Queensland,4285,mail@scenicrim.qld.gov.au
Somerset Regional Council,2 Redbank Street,ESK,Queensland,4312,mail@somerset.qld.gov.au
South Burnett Regional Council,PO Box 336,KINGAROY,Queensland,4610,info@southburnett.qld.gov.au
Southern Downs Regional Council,64 Fitzroy Street,WARWICK,Queensland,4370,mail@sdrc.qld.gov.au
Sunshine Coast Regional Council,Locked Bag 72 Sunshine Coast Mail Center,NAMBOUR,Queensland,4560,mail@sunshinecoast.qld.gov.au
Toowoomba Regional Council,153 Herries Street,TOOWOOMBA CITY,Queensland,4350,info@toowoombarc.qld.gov.au
Western Downs Regional Council,30 Marble Street,DALBY,Queensland,4405,info@wdrc.qld.gov.au
