2016 Federal Election Enrolment By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:57 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionID,DivisionNm,StateAb,CloseOfRollsEnrolment,NotebookRollAdditions,NotebookRollDeletions,ReinstatementsPostal,ReinstatementsPrePoll,ReinstatementsAbsent,ReinstatementsProvisional,Enrolment
179,Adelaide,SA,109211,1,49,3,11,22,18,109217
197,Aston,VIC,96010,1,39,2,24,25,20,96043
198,Ballarat,VIC,110793,1,93,0,18,9,27,110755
103,Banks,NSW,104959,0,69,0,0,0,1,104891
180,Barker,SA,105648,2,67,2,8,4,3,105600
104,Barton,NSW,106566,11,67,0,1,0,0,106511
192,Bass,TAS,73591,1,82,4,12,8,21,73555
199,Batman,VIC,108942,4,88,2,15,33,27,108935
200,Bendigo,VIC,109615,3,64,1,17,8,24,109604
105,Bennelong,NSW,106005,1,44,0,0,0,0,105962
106,Berowra,NSW,105292,4,54,0,0,0,3,105245
304,Blair,QLD,98427,1,95,1,6,14,14,98368
107,Blaxland,NSW,103539,4,40,0,0,0,3,103506
310,Bonner,QLD,100853,0,101,1,0,27,19,100799
182,Boothby,SA,107323,3,53,1,10,20,21,107325
155,Bowman,QLD,103551,0,127,4,3,7,8,103446
193,Braddon,TAS,72519,0,72,4,24,13,41,72529
108,Bradfield,NSW,105735,4,78,0,0,0,1,105662
235,Brand,WA,98113,3,95,0,1,1,2,98025
156,Brisbane,QLD,106958,1,65,3,37,52,17,107003
201,Bruce,VIC,96716,3,31,4,9,22,19,96742
317,Burt,WA,99572,6,105,0,0,1,0,99474
109,Calare,NSW,113025,12,81,0,0,0,1,112957
203,Calwell,VIC,109370,1,40,1,17,28,28,109405
101,Canberra,ACT,143279,2,63,3,6,0,4,143231
236,Canning,WA,99006,4,124,0,1,1,6,98894
157,Capricornia,QLD,98233,1,83,1,13,11,14,98190
204,Casey,VIC,102919,6,79,1,16,18,27,102908
111,Chifley,NSW,103908,1,46,0,1,0,0,103864
205,Chisholm,VIC,97434,4,80,1,12,29,24,97424
112,Cook,NSW,104432,3,95,0,0,0,0,104340
207,Corangamite,VIC,110297,4,88,4,16,15,29,110277
208,Corio,VIC,107782,2,36,3,14,19,24,107808
237,Cowan,WA,96251,5,45,0,0,2,0,96213
113,Cowper,NSW,118388,3,141,0,1,5,4,118260
114,Cunningham,NSW,111395,0,93,0,0,0,2,111304
238,Curtin,WA,97615,12,100,3,1,0,3,97534
158,Dawson,QLD,103654,48,77,0,12,18,10,103665
209,Deakin,VIC,99675,3,36,3,13,26,14,99698
194,Denison,TAS,74020,0,86,4,4,4,17,73963
252,Dickson,QLD,100720,1,81,1,11,11,11,100674
115,Dobell,NSW,111736,3,110,0,0,0,1,111630
210,Dunkley,VIC,104967,3,39,4,7,1,14,104957
312,Durack,WA,97347,11,65,0,0,0,1,97294
117,Eden-Monaro,NSW,107887,0,73,0,3,0,0,107817
159,Fadden,QLD,104729,3,83,1,23,19,18,104710
160,Fairfax,QLD,108276,3,95,1,26,14,22,108247
118,Farrer,NSW,111466,0,86,0,1,1,6,111388
102,Fenner,ACT,138847,5,53,0,4,2,9,138814
161,Fisher,QLD,98637,2,96,3,20,14,12,98592
211,Flinders,VIC,115356,11,117,5,35,43,23,115356
311,Flynn,QLD,100660,1,75,3,26,16,36,100667
162,Forde,QLD,99091,0,100,1,5,4,9,99010
239,Forrest,WA,100341,3,86,0,2,1,1,100262
119,Fowler,NSW,105483,3,43,0,5,0,1,105449
195,Franklin,TAS,76797,2,70,4,4,14,33,76784
240,Fremantle,WA,99631,4,92,0,1,3,3,99550
212,Gellibrand,VIC,108402,3,11,7,13,24,31,108469
120,Gilmore,NSW,115984,1,109,1,0,0,1,115878
213,Gippsland,VIC,104082,2,44,1,11,10,26,104088
214,Goldstein,VIC,104931,8,99,1,22,22,10,104895
309,Gorton,VIC,115937,2,11,2,7,17,23,115977
121,Grayndler,NSW,105605,9,29,0,1,0,0,105586
122,Greenway,NSW,104410,4,39,0,0,2,0,104377
183,Grey,SA,102071,8,38,0,5,3,10,102059
163,Griffith,QLD,105841,0,86,4,32,28,9,105828
164,Groom,QLD,101600,0,105,2,2,5,8,101512
305,Hasluck,WA,95402,30,103,0,0,3,2,95334
165,Herbert,QLD,104841,1,68,1,18,4,18,104815
215,Higgins,VIC,104615,32,83,7,38,43,26,104678
185,Hindmarsh,SA,111702,4,54,1,9,36,17,111715
166,Hinkler,QLD,100798,4,155,1,5,18,16,100687
216,Holt,VIC,116262,5,40,1,16,21,26,116291
217,Hotham,VIC,100010,0,88,2,21,33,16,99994
124,Hughes,NSW,104456,1,50,0,2,3,1,104413
125,Hume,NSW,107211,0,82,0,0,1,0,107130
126,Hunter,NSW,113469,2,58,0,1,1,2,113417
218,Indi,VIC,103784,1,104,2,27,12,12,103734
219,Isaacs,VIC,105722,6,29,2,11,28,16,105756
220,Jagajaga,VIC,103112,0,34,7,13,20,14,103132
167,Kennedy,QLD,99965,1,122,4,7,9,19,99883
127,Kingsford Smith,NSW,108701,9,41,0,1,0,1,108671
186,Kingston,SA,105676,2,36,2,9,14,15,105682
221,Kooyong,VIC,100108,3,76,4,33,33,35,100140
223,La Trobe,VIC,105692,1,50,4,21,34,29,105731
222,Lalor,VIC,123571,4,37,2,28,17,24,123609
168,Leichhardt,QLD,109096,1,72,2,19,6,25,109077
169,Lilley,QLD,107004,3,100,2,26,26,8,106969
128,Lindsay,NSW,109779,3,62,0,1,2,1,109724
306,Lingiari,NT,63082,5,6,0,8,5,37,63131
302,Longman,QLD,105120,2,142,4,9,24,9,105026
130,Lyne,NSW,111908,0,121,0,1,0,2,111790
196,Lyons,TAS,76657,0,79,4,13,24,20,76639
131,Macarthur,NSW,104893,2,38,0,0,0,0,104857
132,Mackellar,NSW,108319,6,60,0,0,2,1,108268
133,Macquarie,NSW,104816,4,49,0,1,1,1,104774
187,Makin,SA,107108,2,47,0,3,15,5,107086
224,Mallee,VIC,99329,0,32,0,10,6,11,99324
170,Maranoa,QLD,102861,18,149,4,14,7,25,102780
225,Maribyrnong,VIC,110313,2,96,1,21,23,22,110286
188,Mayo,SA,103967,6,45,0,10,17,26,103981
226,McEwen,VIC,130591,0,31,4,13,11,24,130612
315,McMahon,NSW,106231,4,79,0,0,2,1,106159
227,McMillan,VIC,116179,0,32,3,12,20,18,116200
171,McPherson,QLD,103754,7,94,0,34,22,38,103761
228,Melbourne,VIC,111628,10,50,7,73,38,35,111741
230,Melbourne Ports,VIC,102186,7,33,7,45,42,29,102283
229,Menzies,VIC,99170,0,39,5,21,26,22,99205
134,Mitchell,NSW,102453,1,49,0,2,1,2,102410
172,Moncrieff,QLD,102971,9,91,3,35,31,24,102982
242,Moore,WA,99916,14,46,0,0,1,2,99887
173,Moreton,QLD,97820,0,93,1,8,34,12,97782
231,Murray,VIC,104430,0,118,0,15,11,21,104359
135,New England,NSW,109580,0,123,0,0,2,2,109461
136,Newcastle,NSW,113386,6,62,0,1,2,1,113334
137,North Sydney,NSW,107083,5,55,1,3,1,2,107040
243,O'Connor,WA,101914,3,146,0,2,4,1,101778
174,Oxley,QLD,95008,6,68,1,17,26,7,94997
138,Page,NSW,117317,10,68,0,1,0,3,117263
139,Parkes,NSW,107445,0,84,0,0,0,2,107363
140,Parramatta,NSW,101574,4,42,0,0,0,2,101538
249,Paterson,NSW,112575,1,35,0,0,0,0,112541
244,Pearce,WA,104451,6,65,0,0,0,0,104392
245,Perth,WA,98758,55,102,0,0,0,3,98714
175,Petrie,QLD,105492,0,116,1,5,5,3,105390
189,Port Adelaide,SA,113342,3,33,0,0,16,18,113346
176,Rankin,QLD,101760,1,87,2,8,8,8,101700
144,Reid,NSW,105496,8,46,0,0,0,1,105459
145,Richmond,NSW,112820,1,122,2,4,2,8,112715
250,Riverina,NSW,111108,0,83,0,1,0,0,111026
146,Robertson,NSW,108509,33,112,0,3,2,0,108435
177,Ryan,QLD,105044,0,55,3,16,23,6,105037
232,Scullin,VIC,110539,6,33,0,11,22,25,110570
148,Shortland,NSW,110159,4,64,0,0,0,1,110100
307,Solomon,NT,69938,3,13,0,20,2,48,69998
246,Stirling,WA,98634,39,107,0,1,1,3,98571
190,Sturt,SA,104764,1,50,2,2,14,9,104742
247,Swan,WA,97400,8,144,0,1,3,0,97268
149,Sydney,NSW,110322,6,26,0,0,0,0,110302
248,Tangney,WA,94111,5,96,0,1,1,3,94025
191,Wakefield,SA,112237,0,35,0,7,9,33,112251
233,Wannon,VIC,99213,2,104,0,16,15,13,99155
151,Warringah,NSW,102711,0,73,0,5,1,1,102645
251,Watson,NSW,105488,5,73,0,0,1,1,105422
152,Wentworth,NSW,102811,9,40,0,2,0,0,102782
153,Werriwa,NSW,108593,1,40,0,0,2,1,108557
150,Whitlam,NSW,112143,0,94,0,0,1,1,112051
178,Wide Bay,QLD,102910,4,112,1,20,20,13,102856
234,Wills,VIC,113856,2,83,1,23,31,21,113851
