"State","DivisionId","DivisionAb","DivisionName","PartyAb","CandidateSurname","Votes"
"ACT",101,"CANB","Canberra","BTA","BTA_CANB",5203
"ACT",101,"CANB","Canberra","PUP","PUP_CANB",3883
"ACT",101,"CANB","Canberra","RUA","RUA_CANB",78
"ACT",101,"CANB","Canberra","","Informal",5008
"ACT",101,"CANB","Canberra","LP","LP_CANB",46677
"ACT",101,"CANB","Canberra","DEM","DEM_CANB",164
"ACT",101,"CANB","Canberra","SPA","SPA_CANB",1264
"ACT",101,"CANB","Canberra","ALP","ALP_CANB",51456
"ACT",101,"CANB","Canberra","GRN","GRN_CANB",16330
"ACT",102,"FENN","Fenner","PUP","PUP_FRAS",2905
"ACT",102,"FENN","Fenner","BTA","BTA_FRAS",4652
"ACT",102,"FENN","Fenner","","Informal",4609
"ACT",102,"FENN","Fenner","ALP","ALP_FRAS",52220
"ACT",102,"FENN","Fenner","DEM","DEM_FRAS",2280
"ACT",102,"FENN","Fenner","LP","LP_FRAS",36935
"ACT",102,"FENN","Fenner","GRN","GRN_FRAS",16026
"ACT",102,"FENN","Fenner","RUA","RUA_FRAS",1430
"NSW",103,"BANK","Banks","","Informal",8722
"NSW",103,"BANK","Banks","IND","KHEDR",603
"NSW",103,"BANK","Banks","IND","NAGI",34
"NSW",103,"BANK","Banks","ALP","ALP_BANK",34774
"NSW",103,"BANK","Banks","LP","LP_BANK",41616
"NSW",103,"BANK","Banks","CDP","CDP_BANK",2105
"NSW",103,"BANK","Banks","DLP","DLP_BANK",357
"NSW",103,"BANK","Banks","GRN","GRN_BANK",4403
"NSW",103,"BANK","Banks","ON","ON_BANK",15
"NSW",103,"BANK","Banks","KAP","KAP_BANK",464
"NSW",103,"BANK","Banks","PUP","PUP_BANK",2847
"NSW",104,"BART","Barton","ALP","ALP_BART",36028
"NSW",104,"BART","Barton","LP","LP_BART",31619
"NSW",104,"BART","Barton","CDP","CDP_BART",1706
"NSW",104,"BART","Barton","DLP","DLP_BART",108
"NSW",104,"BART","Barton","GRN","GRN_BART",6509
"NSW",104,"BART","Barton","ON","ON_BART",520
"NSW",104,"BART","Barton","RUA","RUA_BART",18
"NSW",104,"BART","Barton","KAP","KAP_BART",464
"NSW",104,"BART","Barton","PUP","PUP_BART",2765
"NSW",104,"BART","Barton","BTA","BTA_BART",108
"NSW",104,"BART","Barton","","Informal",11173
"NSW",104,"BART","Barton","IND","KHEDR",97
"NSW",104,"BART","Barton","IND","NAGI",2669
"NSW",105,"BENN","Bennelong","","Informal",7200
"NSW",105,"BENN","Bennelong","IND","PATEL",0
"NSW",105,"BENN","Bennelong","ALP","ALP_BENN",28726
"NSW",105,"BENN","Bennelong","LP","LP_BENN",46907
"NSW",105,"BENN","Bennelong","CDP","CDP_BENN",2135
"NSW",105,"BENN","Bennelong","DLP","DLP_BENN",617
"NSW",105,"BENN","Bennelong","GRN","GRN_BENN",7454
"NSW",105,"BENN","Bennelong","ON","ON_BENN",0
"NSW",105,"BENN","Bennelong","AFN","AFN_BENN",492
"NSW",105,"BENN","Bennelong","SPA","SPA_BENN",602
"NSW",105,"BENN","Bennelong","PUP","PUP_BENN",1589
"NSW",106,"BERO","Berowra","","Informal",5469
"NSW",106,"BERO","Berowra","IND","GALLAGHER",3374
"NSW",106,"BERO","Berowra","ALP","ALP_BERO",17556
"NSW",106,"BERO","Berowra","LP","LP_BERO",56733
"NSW",106,"BERO","Berowra","CDP","CDP_BERO",2301
"NSW",106,"BERO","Berowra","DLP","DLP_BERO",71
"NSW",106,"BERO","Berowra","GRN","GRN_BERO",9254
"NSW",106,"BERO","Berowra","SPP","SPP_BERO",492
"NSW",106,"BERO","Berowra","PUP","PUP_BERO",2494
"NSW",107,"BLAX","Blaxland","ALP","ALP_BLAX",42886
"NSW",107,"BLAX","Blaxland","LP","LP_BLAX",25865
"NSW",107,"BLAX","Blaxland","CDP","CDP_BLAX",1637
"NSW",107,"BLAX","Blaxland","DLP","DLP_BLAX",724
"NSW",107,"BLAX","Blaxland","GRN","GRN_BLAX",2554
"NSW",107,"BLAX","Blaxland","AIN","AIN_BLAX",180
"NSW",107,"BLAX","Blaxland","KAP","KAP_BLAX",1557
"NSW",107,"BLAX","Blaxland","PUP","PUP_BLAX",2231
"NSW",107,"BLAX","Blaxland","","Informal",11973
"NSW",107,"BLAX","Blaxland","IND","KHEDR",8
"NSW",108,"BRFD","Bradfield","","Informal",5487
"NSW",108,"BRFD","Bradfield","ALP","ALP_BRFD",15026
"NSW",108,"BRFD","Bradfield","LP","LP_BRFD",58963
"NSW",108,"BRFD","Bradfield","CDP","CDP_BRFD",1651
"NSW",108,"BRFD","Bradfield","DLP","DLP_BRFD",987
"NSW",108,"BRFD","Bradfield","GRN","GRN_BRFD",11620
"NSW",108,"BRFD","Bradfield","SPP","SPP_BRFD",0
