"State","DivisionId","DivisionAb","DivisionName","TCPCandidate","PreferenceVotes","CandidateId","CandidateSurname","PartyAb"
"ACT",101,"CANB","Canberra",1,71915,25470,"ALP_CANB","ALP"
"ACT",101,"CANB","Canberra",2,53140,25472,"LP_CANB","LP"
"ACT",102,"FENN","Fenner",1,72773,25478,"ALP_FRAS","ALP"
"ACT",102,"FENN","Fenner",2,43675,25480,"LP_FRAS","LP"
"NSW",103,"BANK","Banks",1,41167,27557,"ALP_BANK","ALP"
"NSW",103,"BANK","Banks",2,46050,27558,"LP_BANK","LP"
"NSW",104,"BART","Barton",1,44929,27565,"ALP_BART","ALP"
"NSW",104,"BART","Barton",2,37682,27566,"LP_BART","LP"
"NSW",105,"BENN","Bennelong",1,51139,27576,"LP_BENN","LP"
"NSW",105,"BENN","Bennelong",2,37383,27575,"ALP_BENN","ALP"
"NSW",106,"BERO","Berowra",1,63720,27585,"LP_BERO","LP"
"NSW",106,"BERO","Berowra",2,28555,27584,"ALP_BERO","ALP"
"NSW",107,"BLAX","Blaxland",1,47545,27591,"ALP_BLAX","ALP"
"NSW",107,"BLAX","Blaxland",2,30097,27592,"LP_BLAX","LP"
"NSW",108,"BRFD","Bradfield",1,64269,27600,"LP_BRFD","LP"
"NSW",108,"BRFD","Bradfield",2,26331,27599,"ALP_BRFD","ALP"
"NSW",109,"CALA","Calare",1,33595,27607,"ALP_CALA","ALP"
"NSW",109,"CALA","Calare",2,62304,27610,"NP_CALA","NP"
"NSW",111,"CHIF","Chifley",1,46810,27618,"ALP_CHIF","ALP"
"NSW",111,"CHIF","Chifley",2,30017,27619,"LP_CHIF","LP"
"NSW",112,"COOK","Cook",1,57619,27631,"LP_COOK","LP"
"NSW",112,"COOK","Cook",2,30072,27630,"ALP_COOK","ALP"
"NSW",113,"COWP","Cowper",1,62402,27641,"NP_COWP","NP"
"NSW",113,"COWP","Cowper",2,36281,27639,"ALP_COWP","ALP"
"NSW",114,"CUNN","Cunningham",1,56024,27647,"ALP_CUNN","ALP"
