"State","DivisionId","DivisionAb","DivisionName","TCPCandidate","PreferenceVotes","CandidateId","CandidateSurname","PartyAb"
"ACT",318,"BEAN","Bean",1,53264,31525,"ALP_BEAN","ALP"
"ACT",318,"BEAN","Bean",2,37241,31526,"LP_BEAN","LP"
"ACT",101,"CANB","Canberra",1,51369,31529,"ALP_CANB","ALP"
"ACT",101,"CANB","Canberra",2,30246,31530,"LP_CANB","LP"
"ACT",102,"FENN","Fenner",1,49855,31533,"ALP_FENN","ALP"
"ACT",102,"FENN","Fenner",2,30766,31534,"LP_FENN","LP"
"NSW",103,"BANK","Banks",1,43622,28951,"GAMBIAN","ALP"
"NSW",103,"BANK","Banks",2,46210,28660,"COLEMAN","LP"
"NSW",104,"BART","Barton",1,51131,28964,"BURNEY","ALP"
"NSW",104,"BART","Barton",2,36571,28636,"VARVARIS","LP"
"NSW",105,"BENN","Bennelong",1,55077,28568,"ALEXANDER","LP"
"NSW",105,"BENN","Bennelong",2,37154,28886,"HOWISON","ALP"
"NSW",106,"BERO","Berowra",1,62470,28564,"LEESER","LP"
"NSW",106,"BERO","Berowra",2,31547,28927,"ANDREWS","ALP"
"NSW",107,"BLAX","Blaxland",1,55507,28931,"CLARE","ALP"
"NSW",107,"BLAX","Blaxland",2,24378,28704,"FINDLAY","LP"
"NSW",108,"BRFD","Bradfield",1,66513,28565,"FLETCHER","LP"
"NSW",108,"BRFD","Bradfield",2,27121,28881,"GOMPERTZ","ALP"
"NSW",109,"CALA","Calare",1,38300,28915,"JENNINGS","ALP"
"NSW",109,"CALA","Calare",2,61978,29294,"GEE","NP"
"NSW",111,"CHIF","Chifley",1,59202,28890,"HUSIC","ALP"
"NSW",111,"CHIF","Chifley",2,26367,28684,"KUMAR","LP"
"NSW",112,"COOK","Cook",1,59760,28570,"MORRISON","LP"
"NSW",112,"COOK","Cook",2,31625,28925,"ATKINS","ALP"
"NSW",113,"COWP","Cowper",1,47017,29558,"OAKESHOTT","IND"
"NSW",113,"COWP","Cowper",2,56443,29276,"HARTSUYKER","NP"
"NSW",114,"CUNN","Cunningham",1,61377,28948,"BIRD","ALP"
"NSW",114,"CUNN","Cunningham",2,35547,28669,"BLICAVS","LP"
"NSW",115,"DOBE","Dobell",1,52991,28978,"McBRIDE","ALP"
"NSW",115,"DOBE","Dobell",2,43683,28613,"McNAMARA","LP"
"NSW",117,"EMON","Eden-Monaro",1,50003,28993,"KELLY","ALP"
"NSW",117,"EMON","Eden-Monaro",2,44466,28689,"HENDY","LP"
"NSW",118,"FARR","Farrer",1,28465,28938,"KUNDE","ALP"
"NSW",118,"FARR","Farrer",2,68114,28699,"LEY","LP"
"NSW",119,"FOWL","Fowler",1,57209,28945,"HAYES","ALP"
"NSW",119,"FOWL","Fowler",2,27561,28658,"FARHAN","LP"
"NSW",120,"GILM","Gilmore",1,52336,28668,"SUDMALIS","LP"
"NSW",120,"GILM","Gilmore",2,50833,28914,"PHILLIPS","ALP"
"NSW",121,"GRAY","Grayndler",1,30050,28696,"CASEY","GRN"
"NSW",121,"GRAY","Grayndler",2,57872,29343,"ALBANESE","ALP"
"NSW",122,"GREE","Greenway",1,50163,28911,"ROWLAND","ALP"
"NSW",122,"GREE","Greenway",2,38920,28643,"KEANE","LP"
"NSW",124,"HUGH","Hughes",1,55633,28569,"KELLY","LP"
"NSW",124,"HUGH","Hughes",2,38143,28899,"STEINWALL","ALP"
"NSW",125,"HUME","Hume",1,57127,28777,"TAYLOR","LP"
"NSW",125,"HUME","Hume",2,37801,28895,"CHAMPION-FASHOYIN","ALP"
"NSW",126,"HUNT","Hunter",1,36211,29211,"ROGERS","NP"
"NSW",126,"HUNT","Hunter",2,60255,28884,"FITZGIBBON","ALP"
"NSW",127,"KSMI","Kingsford Smith",1,53962,29083,"THISTLETHWAITE","ALP"
"NSW",127,"KSMI","Kingsford Smith",2,38172,28778,"FENELEY","LP"
"NSW",128,"LIND","Lindsay",1,43643,28691,"SCOTT","LP"
"NSW",128,"LIND","Lindsay",2,45633,28902,"HUSAR","ALP"
"NSW",130,"LYNE","Lyne",1,38238,28904,"ALLEY","ALP"
"NSW",130,"LYNE","Lyne",2,61416,29209,"GILLESPIE","NP"
"NSW",131,"MACA","Macarthur",1,52448,29070,"FREELANDER","ALP"
"NSW",131,"MACA","Macarthur",2,37464,28706,"MATHESON","LP"
"NSW",132,"MACK","Mackellar",1,61800,28688,"FALINSKI","LP"
"NSW",132,"MACK","Mackellar",2,32212,28975,"FUNNELL","ALP"
"NSW",133,"MACQ","Macquarie",1,43719,28682,"MARKUS","LP"
"NSW",133,"MACQ","Macquarie",2,47733,28905,"TEMPLEMAN","ALP"
"NSW",315,"MCMA","McMahon",1,53442,28923,"BOWEN","ALP"
"NSW",315,"MCMA","McMahon",2,32596,28710,"BILIC","LP"
"NSW",134,"MITC","Mitchell",1,61847,28776,"HAWKE","LP"
"NSW",134,"MITC","Mitchell",2,29351,29030,"PUNCH","ALP"
"NSW",135,"NENG","New England",1,39409,29484,"WINDSOR","IND"
"NSW",135,"NENG","New England",2,55595,29334,"JOYCE","NP"
"NSW",136,"NEWC","Newcastle",1,63348,28888,"CLAYDON","ALP"
"NSW",136,"NEWC","Newcastle",2,35887,28645,"COMPTON","LP"
"NSW",137,"NSYD","North Sydney",1,58825,28567,"ZIMMERMAN","LP"
