"PPN","batch","pollingplace"
1,1001001,"Bonython"
1,1001002,"Bonython"
1,1001003,"Bonython"
1,1001004,"Bonython"
1,1001005,"Bonython"
1,1001006,"Bonython"
1,1001007,"Bonython"
1,1001008,"Bonython"
1,1001009,"Bonython"
1,1001010,"Bonython"
1,1001011,"Bonython"
1,1001012,"Bonython"
1,1001013,"Bonython"
1,1001014,"Bonython"
1,1001998,"Bonython"
1,1001999,"Bonython"
1,4001001,"Bonython"
2,1002001,"Calwell"
2,1002002,"Calwell"
2,1002003,"Calwell"
2,1002004,"Calwell"
2,1002005,"Calwell"
2,1002006,"Calwell"
2,1002007,"Calwell"
2,1002008,"Calwell"
2,1002009,"Calwell"
2,1002010,"Calwell"
2,1002011,"Calwell"
2,1002012,"Calwell"
2,1002013,"Calwell"
2,1002014,"Calwell"
2,1002015,"Calwell"
2,1002016,"Calwell"
2,1002017,"Calwell"
2,1002018,"Calwell"
2,1002019,"Calwell"
2,1002020,"Calwell"
2,1002998,"Calwell"
2,1002999,"Calwell"
2,4002001,"Calwell"
2,4002998,"Calwell"
3,1003001,"Chisholm"
3,1003002,"Chisholm"
3,1003003,"Chisholm"
3,1003004,"Chisholm"
3,1003005,"Chisholm"
3,1003006,"Chisholm"
3,1003007,"Chisholm"
3,1003008,"Chisholm"
3,1003009,"Chisholm"
3,1003010,"Chisholm"
3,1003011,"Chisholm"
3,1003012,"Chisholm"
3,1003013,"Chisholm"
3,1003014,"Chisholm"
3,1003015,"Chisholm"
3,1003998,"Chisholm"
3,4003001,"Chisholm"
3,4003998,"Chisholm"
5,1005001,"Conder"
5,1005002,"Conder"
5,1005003,"Conder"
5,1005004,"Conder"
5,1005005,"Conder"
5,1005006,"Conder"
5,1005007,"Conder"
5,1005008,"Conder"
5,1005009,"Conder"
5,1005010,"Conder"
5,1005011,"Conder"
5,1005012,"Conder"
5,1005013,"Conder"
5,1005014,"Conder"
5,1005015,"Conder"
5,1005016,"Conder"
5,1005017,"Conder"
5,1005018,"Conder"
5,1005019,"Conder"
5,1005020,"Conder"
5,1005021,"Conder"
5,1005022,"Conder"
5,1005023,"Conder"
5,1005024,"Conder"
5,1005025,"Conder"
5,1005026,"Conder"
5,1005027,"Conder"
5,1005998,"Conder"
5,1005999,"Conder"
5,4005001,"Conder"
5,4005998,"Conder"
6,1006001,"Fadden"
6,1006002,"Fadden"
6,1006003,"Fadden"
6,1006004,"Fadden"
6,1006005,"Fadden"
6,1006006,"Fadden"
6,1006007,"Fadden"
6,1006008,"Fadden"
6,1006009,"Fadden"
6,1006010,"Fadden"
6,1006011,"Fadden"
6,1006012,"Fadden"
6,1006013,"Fadden"
6,1006014,"Fadden"
6,1006015,"Fadden"
6,1006016,"Fadden"
6,1006017,"Fadden"
6,1006998,"Fadden"
6,4006001,"Fadden"
7,1007001,"Gilmore"
7,1007002,"Gilmore"
7,1007003,"Gilmore"
7,1007004,"Gilmore"
7,1007005,"Gilmore"
7,1007006,"Gilmore"
7,1007007,"Gilmore"
7,1007008,"Gilmore"
7,1007009,"Gilmore"
7,1007010,"Gilmore"
7,1007011,"Gilmore"
7,1007012,"Gilmore"
7,1007013,"Gilmore"
