StateCo,StateAb,DivName,DivCo,PPName,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,DateFrom,DateTo,TimeFrom,TimeTo
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","29/04/2019","03/05/2019","8:30","17:30"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","06/05/2019","09/05/2019","8:30","17:30"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","10/05/2019","10/05/2019","8:30","18:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","11/05/2019","11/05/2019","9:00","16:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","13/05/2019","14/05/2019","8:30","17:30"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","15/05/2019","15/05/2019","8:30","18:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","16/05/2019","16/05/2019","8:30","17:30"
"2","NSW","Banks","1","Hurstville BANKS PPVC","Level 1, 8 Woodville St","","","","HURSTVILLE","NSW","2220","34046","Level 1, 8 Woodville St","  ","HURSTVILLE","","","-33.9663791","151.1068363","1136831","Assisted","7720","0","17/05/2019","17/05/2019","8:30","18:00"
"2","NSW","Banks","1","Padstow PPVC","Padstow TAFE","Block C Dining Room","Raine Rd","","PADSTOW","NSW","2211","58722","Padstow TAFE","Block C Dining Room Raine Rd ","PADSTOW","C Block Dining Room","Raine Rd","-33.9480237","151.0259414","1135823","Full","4294","884","29/04/2019","03/05/2019","8:30","17:30"
"2","NSW","Banks","1","Padstow PPVC","Padstow TAFE","Block C Dining Room","Raine Rd","","PADSTOW","NSW","2211","58722","Padstow TAFE","Block C Dining Room Raine Rd ","PADSTOW","C Block Dining Room","Raine Rd","-33.9480237","151.0259414","1135823","Full","4294","884","06/05/2019","09/05/2019","8:30","17:30"
